word,total_count,num_papers
robot,72788,32971
control,61598,27525
system,52438,27311
model,40738,22558
robots,36012,20540
motion,34242,18495
algorithm,25951,15331
data,24349,14417
problem,23176,15970
robotic,22377,14636
design,21890,14288
object,21257,9863
task,20563,12496
learning,20298,10687
force,19322,9362
human,19307,10386
planning,19185,10407
environment,18935,13397
systems,18832,13291
tasks,18771,12532
novel,18236,16142
time,17561,13087
information,17434,11895
dynamic,17316,11487
framework,17013,11523
objects,16752,9019
environments,16613,12052
sensor,16090,9067
controller,15963,8862
simulation,14531,12033
space,14035,9264
tracking,13495,7676
models,13220,8973
trajectory,12989,7852
estimation,12972,7761
developed,12912,10828
math,12824,7869
mathml,12754,7856
accuracy,12645,9543
autonomous,12505,9330
position,12387,8659
visual,12336,7224
manipulation,12272,7055
mobile,12265,8223
high,12178,9675
dynamics,11925,7805
real,11482,9315
path,11383,6126
applications,11026,9548
sensors,11002,7320
multiple,10997,8532
features,10989,7255
contact,10965,5603
navigation,10936,6225
network,10862,6903
soft,10723,4188
constraints,10721,7298
joint,10647,6208
point,10538,6534
parameters,10304,7157
complex,10125,8404
optimization,10077,6872
image,9907,5875
robust,9895,7892
algorithms,9855,7221
pose,9778,5406
camera,9729,5961
process,9702,7729
manipulator,9694,5579
designed,9669,8451
localization,9568,5154
mechanism,9542,5946
map,9491,5262
analysis,9462,7565
existing,9331,8158
structure,9259,6942
large,9247,7766
detection,9177,5389
real-time,9004,6934
order,8862,7736
feedback,8814,5872
strategy,8759,6392
effectiveness,8666,8424
vehicle,8636,5025
optimal,8630,5955
range,8565,6519
interaction,8348,5747
error,8136,5845
hand,8106,4006
images,8071,5017
number,8050,6561
training,7967,5255
solution,7930,6241
target,7913,4738
function,7885,5970
field,7805,5822
local,7662,5338
trajectories,7597,5206
sensing,7590,4748
real-world,7544,6286
surface,7541,4712
behavior,7508,5281
accurate,7495,6373
applied,7470,6727
robotics,7459,6239
conditions,7379,5903
actuator,7353,3842
potential,7310,6384
stability,7304,5073
single,7279,6193
challenging,7162,6582
forces,7088,4695
physical,7009,5470
improve,6954,6289
neural,6944,4911
grasping,6876,3434
finally,6841,6788
simple,6823,6082
scenarios,6813,5610
problems,6810,5279
etx,6776,3388
scheme,6704,4772
feature,6693,4451
body,6679,4405
shape,6635,4103
stiffness,6628,2803
speed,6503,4762
research,6475,5617
dataset,6456,4178
mapping,6416,4334
current,6409,5504
state-of-the-art,6398,5936
walking,6394,2904
robustness,6354,5344
vehicles,6349,4564
desired,6332,5059
torque,6274,3457
arm,6229,3893
actuators,6221,3934
linear,6216,4899
introduce,6153,5845
locomotion,6132,3457
simulations,6130,5847
energy,6119,3485
grasp,6116,2599
available,6106,5656
motions,6093,4275
policy,6047,3093
adaptive,6036,4163
velocity,6022,4075
ability,6017,5373
obstacles,6003,3917
modeling,5979,4719
representation,5954,4376
points,5949,4078
techniques,5930,5037
kinematic,5920,4207
online,5913,4389
nonlinear,5889,4301
generate,5868,5178
safety,5864,3625
enables,5860,5469
often,5842,5425
vision,5832,4233
obtained,5821,5228
significant,5802,5426
cost,5790,4418
flexible,5742,3967
small,5740,4834
global,5735,4126
configuration,5725,4221
estimate,5709,4692
